id,adresat,miejsce_wzmiankowane,osoba_prawdopodobnie_wzmiankowana,osoba_wzmiankowana
389,"['Grzymała, Wojciech']","['België', 'Chaillot', 'Saint-Germain-en-Laye']",,"['Breguet, Abraham Louis', 'Cichowski, Adolf', 'Clésinger, Jean-Baptiste', 'Clésinger, Jeanne-Gabrielle', 'Dudevant, Solange', 'Etienne', 'Franchomme, Auguste', 'Herbault, Édouard', 'Jędrzejewiczowa, Ludwika', 'Obreskow, Natalia (księżna)', 'Rozières, Marie de', 'Sapieha, Jadwiga Klementyna (księżna)', 'Stirling, Jane Wilhelmina']"
1375,"['Barcińska, Izabella']",,,
1472,,,,"['Barcińska, Izabella', 'Cavendish, William (4. diuk Devonshire)', 'Chopin, Justyna', 'Czartoryska, Marcelina (księżna)', 'Elsner, Józef', 'Franchomme, Auguste', 'Gutmann, Adolf', 'Juanna Camila, Fontana', 'Jędrzejewiczowa, Ludwika', 'Mickiewicz, Adam', 'Mozart, Wolfgang Amadeusz', 'Pitt, William (1. hrabia Chatham)', 'Stirling, Jane Wilhelmina', 'Witwicki, Stefan']"
1376,"['Barcińska, Izabella']",,,
1499,"['Barcińska, Izabella']",,,
1501,"['Barcińska, Izabella']",,,
1497,"['Barcińska, Izabella']",,,"['Bach, Jan Sebastian', 'Beethoven, Ludwig van', 'Brahms, Johannes', 'Chopin, Fryderyk Franciszek', 'Liszt, Ferenc', 'Mendelssohn-Bartholdy, Feliks', 'Mozart, Wolfgang Amadeusz', 'Reinecke, Carl']"
1494,"['Barcińska, Izabella']",['Warszawa'],,"['Chopin, Fryderyk Franciszek']"
1496,"['Barcińska, Izabella']",,,
1478,"['Barcińska, Izabella']",,,
1393,"['Fontana, Julian']",,,"['Schunke, Charles', 'Witwicki, Stefan']"
1495,"['Chopin, Fryderyk Franciszek']",['London (7011781)'],,
1498,"['Jędrzejewiczowa, Ludwika']",,,
